Stats,Ajax,Atalanta,Atletico,Barcelona,Bayern,Benfica,Besiktas,Chelsea,Club Brugge,Dortmund,Dynamo Kyiv,Inter,Juventus,Leipzig,Liverpool,LOSC,Malmo,Man. City,Man. United,Milan,Paris,Porto,Real Madrid,Salzburg,Sevilla,Shakhtar Donetsk,Sheriff,Sporting CP,Villarreal,Wolfsburg,Young Boys,Zenit
Shots Crossbar Rate,-0.9164578621646275,2.107853082978643,0.0,0.6415205035152393,-0.9164578621646275,-0.9164578621646275,-0.9164578621646275,-0.9164578621646275,-0.9164578621646275,0.6415205035152393,0.6415205035152393,2.566082014060957,1.374686793246941,-0.9164578621646275,-0.18329157243292551,-0.9164578621646275,-0.9164578621646275,0.6415205035152393,0.1832915724329254,-0.9164578621646275,0.1832915724329254,0.6415205035152393,0.4582289310823136,0.1832915724329254,0.6415205035152393,2.107853082978643,-0.9164578621646275,0.1832915724329254,-0.18329157243292551,-0.9164578621646275,-0.9164578621646275,-0.9164578621646275
Shots Post Rate,1.674255205460266,1.308297783501738,-1.1070212014245473,-1.1070212014245473,1.0887233303266208,-0.37510635750749116,2.5525530181607334,-1.1070212014245473,-1.1070212014245473,-1.1070212014245473,0.13723403323444813,0.722765908368093,-0.22872338872408005,0.13723403323444813,1.1619148147183267,0.722765908368093,-1.1070212014245473,0.722765908368093,-0.22872338872408005,-1.1070212014245473,-1.1070212014245473,0.13723403323444813,-0.5214893262909024,0.722765908368093,-1.1070212014245473,1.308297783501738,0.13723403323444813,0.722765908368093,0.13723403323444813,-1.1070212014245473,0.13723403323444813,-1.1070212014245473
Shots Blocked Rate,0.31493035220436627,0.7223874116601504,-0.7535126037019115,0.2696573455981682,1.4195917133956026,-0.9346046301267046,-1.233406473727613,1.5101377266079996,-0.18307272046381404,0.4235855680592421,-0.7806764076656307,1.2203904843283306,-1.1609696631576958,0.7223874116601504,1.6459567464265938,0.7676604182663485,-1.840064762250669,2.234505832307171,-0.5905297799195982,-1.3873346961886868,-0.25550953103373125,-0.02914449800274014,0.5956229931627953,0.07951071785213569,-0.18307272046381404,0.7223874116601504,-1.233406473727613,-0.8259494142718288,-0.8621678195567873,-1.0885328525877784,-0.18307272046381404,0.8763156341212243
Goals Rate,1.7934518934354713,0.7977811684192484,-0.6625358949378783,-1.4192456459502076,2.2580982317763754,0.0012445884062700309,-1.1935602816131974,0.9305372650880783,-0.5297797982690488,0.3596860494121103,-1.6316554006203354,-0.3704724822664529,-0.025306630927495934,1.461561651763397,1.2093250680926206,-0.5297797982690488,-1.6316554006203354,1.3553567744283332,0.13400068507509985,-0.5297797982690488,0.6384738524166527,-0.9678749172761867,1.1031201907575567,-0.19788955659697444,-0.7554651626060593,-1.4192456459502076,-0.3040944339320383,0.46589092674717414,0.3596860494121103,-0.7554651626060593,-0.3040944339320383,0.3596860494121103
Goals Right Foot Rate,-0.1177743748626384,0.016824910694662545,-0.9792098024293637,-0.8984502310949831,1.712775908716653,0.3667830531436447,-1.7868055157731686,1.712775908716653,0.016824910694662545,0.44754262447802495,-1.3291679448783458,0.23218376758634376,-1.1138090879866644,2.251173050945856,0.07066462491758262,-0.1177743748626384,-1.3291679448783458,1.3628177662676706,1.2282184807103702,-0.44081266020016036,0.5821419100353259,-0.44081266020016036,1.7396957658281131,-0.44081266020016036,0.016824910694662545,-0.8984502310949831,-1.3291679448783458,-0.1177743748626384,0.016824910694662545,-0.8984502310949831,0.016824910694662545,0.44754262447802495
Goals Left Foot Rate,2.695164796002275,1.8435507850572113,-0.14354857381460345,-1.1758079810207411,1.9209702405976716,-0.6596782774176723,-0.7370977329581326,-0.14354857381460345,-0.7370977329581326,0.11451627798693088,-1.1758079810207411,-0.5306458515169051,0.7596784074907669,-0.3241939700756776,1.404840536994603,-0.19516154417491038,-1.1758079810207411,0.7596784074907669,-0.5306458515169051,-0.7370977329581326,1.0951627148327616,-1.1758079810207411,0.21774221870754473,0.7596784074907669,-1.1758079810207411,-1.1758079810207411,-0.3241939700756776,0.7596784074907669,0.7596784074907669,-0.3241939700756776,-0.3241939700756776,-0.3241939700756776
Goals Head Rate,0.9237487378658634,-0.3252636400936137,-0.14683330038511694,-1.3363688984417619,0.4479344986432054,0.4479344986432054,0.6263648383517023,1.0427022976715281,-1.3363688984417619,0.6263648383517023,-1.3363688984417619,-0.622647539607775,0.9237487378658634,2.6485753550479987,1.3995629770885214,-1.3363688984417619,-1.3363688984417619,1.1616558574771922,-0.622647539607775,-0.3252636400936137,-0.622647539607775,-0.3252636400936137,0.5074112785460376,-1.3363688984417619,-0.3252636400936137,-1.3363688984417619,1.6374700966998503,0.15055059912904423,0.15055059912904423,-0.3252636400936137,-0.3252636400936137,0.6263648383517023
Goals Other Rate,2.4118406440831337,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,1.948303703478568,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,3.57068299559455,2.4118406440831337,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373,-0.36938099954426373
Goals Inside Area Rate,1.9554352857144497,0.6827971776875987,-0.49784299481923855,-1.3718233822593648,2.1087651782478054,0.11547657531418354,-1.1111625649526606,1.3421157155810277,-0.6051739195925875,0.6827971776875987,-1.617151210312734,-0.34451310228588305,0.23814048934086773,1.6947744684077453,0.8361270702209544,-0.5285089733259096,-1.617151210312734,1.4494466403543762,-0.16051723124585626,-0.6051739195925875,0.6061322314209213,-0.8505017476459562,0.7134631561942699,-0.16051723124585626,-0.6051739195925875,-1.3718233822593648,-0.6051739195925875,0.23814048934086773,0.6827971776875987,-0.6051739195925875,-0.6051739195925875,-0.08385228497917879
Goals Outside Area Rate,-0.10762920870262173,1.207404032173046,-0.8590767749172888,-0.8590767749172888,1.6457484457982683,-0.8590767749172888,-0.8590767749172888,-0.8590767749172888,-0.8590767749172888,-0.8590767749172888,-0.8590767749172888,-0.10762920870262173,-0.8590767749172888,0.205473943886823,1.5205071847624905,-0.10762920870262173,-0.8590767749172888,0.205473943886823,1.5205071847624905,-0.8590767749172888,0.7064389880299343,-0.8590767749172888,2.0214722289056017,-0.10762920870262173,-0.8590767749172888,-0.8590767749172888,1.207404032173046,1.5205071847624905,-0.8590767749172888,-0.8590767749172888,1.207404032173046,1.207404032173046
